1662542430;1662542437;0;default;50;init;6.691898;644061736
1662542437;1662542437;0;default;50;vacuum;0.026372;62768
1662546100;1662546130;0;default;250;init;30.517871;3220063720
1662546130;1662546130;0;default;250;vacuum;0.031269;78784
1662550754;1662550881;0;default;1000;init;127.336291;12880076096
1662550881;1662550881;0;default;1000;vacuum;0.049122;184960
1662555523;1662555530;0;default;50;init;7.124085;644061736
1662555530;1662555531;0;default;50;vacuum;0.027553;62768
1662559193;1662559226;0;default;250;init;32.788851;3220063712
1662559226;1662559226;0;default;250;vacuum;0.032068;79416
1662563850;1662563986;0;default;1000;init;136.546189;12880076216
1662563986;1662563986;0;default;1000;vacuum;0.048898;187680
1662568628;1662568635;1;default;50;init;6.712893;644061736
1662568635;1662568635;1;default;50;vacuum;0.027870;62768
1662572298;1662572328;1;default;250;init;30.785547;3220063784
1662572328;1662572328;1;default;250;vacuum;0.031546;82488
1662574301;1662574317;1;default;xfs;50;init;16.391963;644061848
1662574317;1662574317;1;default;xfs;50;vacuum;0.027603;62656
